run_id,seed,profile,scenario,model,identity_continuity,lure_capture,recovery_latency_s,selection_switches
345_ground_creature_matched_adversarial_identity,345,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
345_ground_creature_matched_adversarial_identity,345,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
345_virtual_avatar_matched_adversarial_identity,345,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
345_virtual_avatar_matched_adversarial_identity,345,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
345_wheeled_robot_matched_adversarial_identity,345,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
345_wheeled_robot_matched_adversarial_identity,345,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
346_drone_matched_adversarial_identity,346,drone,matched_adversarial_identity,generic_recurrent_filter,0.9861111111111112,0.013888888888888888,0.0,10
346_drone_matched_adversarial_identity,346,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
346_ground_creature_matched_adversarial_identity,346,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
346_ground_creature_matched_adversarial_identity,346,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
346_virtual_avatar_matched_adversarial_identity,346,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
346_virtual_avatar_matched_adversarial_identity,346,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
346_wheeled_robot_matched_adversarial_identity,346,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
346_wheeled_robot_matched_adversarial_identity,346,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
347_drone_matched_adversarial_identity,347,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,10
347_drone_matched_adversarial_identity,347,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
