protocol_version,profile,condition,seed,schedule,training_transition_count,matched_change_point_events,sham_change_point_events,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,training_transition_identity_switches,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_identity_switches,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score_v2,identity_continuity_score_legacy,confirmatory_release,phase
7.0-p2,wheeled_robot,progressive_history_reset,279,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.75,1.0,0.0,0.0,5,1.0,0.95643726428012,0.60711029521223,0.34932696906788,2,5,0.0,0.98214285714286,0.82504423628815,0.875,7.0-r1,heldout
7.0-p2,drone,progressive_persistent,279,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.75,1.0,0.0,0.0,5,1.0,0.95616992993519,0.60873836745596,0.34743156247923,2,3,0.0,0.99404761904762,0.82481678749751,0.875,7.0-r1,heldout
7.0-p2,drone,progressive_no_persistent_self,279,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.96141698748188,0.61038551666662,0.35103147081526,1,3,0.0,0.98809523809524,0.92212377649783,1.0,7.0-r1,heldout
7.0-p2,drone,progressive_history_reset,279,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.75,1.0,0.0,0.0,5,1.0,0.95582930015756,0.60642903867212,0.34940026148544,2,5,0.0,0.98214285714286,0.82505303137825,0.875,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_persistent,279,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.75,1.0,0.0,0.0,5,1.0,0.95764010944265,0.60871644290072,0.34892366654193,2,3,0.0,0.99404761904762,0.82499583998503,0.875,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_no_persistent_self,279,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.96287104350744,0.61095329757272,0.35191774593472,1,3,0.0,0.98809523809524,0.92223012951217,1.0,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_history_reset,279,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.75,1.0,0.0,0.0,5,1.0,0.9578793461707,0.6064927294141,0.3513866167566,2,5,0.0,0.98214285714286,0.82529139401079,0.875,7.0-r1,heldout
7.0-p2,ground_creature,progressive_persistent,280,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94228365546259,0.61511401195406,0.32716964350853,2,4,0.0,0.98809523809524,0.49571869055436,0.34722222222222,7.0-r1,heldout
7.0-p2,ground_creature,progressive_no_persistent_self,280,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.9541212205555,0.62259083895572,0.33153038159978,1,3,0.0,0.98809523809524,0.25978364579197,0.0,7.0-r1,heldout
7.0-p2,ground_creature,progressive_history_reset,280,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95487145177162,0.61788318292531,0.33698826884631,2,5,0.0,0.98214285714286,0.79213329248694,0.8406471010466,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_persistent,280,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,1.0,1.0,0.0,0.0,0,1.0,0.9624401379006,0.61404256454784,0.34839757335276,1,3,1.0,1.0,0.92180770880233,1.0,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_no_persistent_self,280,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,0.98611111111111,0.9109395804228,0.62185505649324,0.28908452392956,1,3,0.0,0.99404761904762,0.25469014287155,0.0,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_history_reset,280,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.92070894571365,0.60748588078846,0.31322306492519,2,5,0.0,0.98214285714286,0.7892814680164,0.8406471010466,7.0-r1,heldout
7.0-p2,drone,progressive_persistent,280,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.94668991165225,0.6143819076489,0.33230800400334,2,3,0.0,0.99404761904762,0.4630019604804,0.30555555555556,7.0-r1,heldout
7.0-p2,drone,progressive_no_persistent_self,280,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95426921247977,0.62026454171147,0.3340046707683,1,3,0.0,0.98809523809524,0.2600805604922,0.0,7.0-r1,heldout
7.0-p2,drone,progressive_history_reset,280,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.19444444444444,0.0,7.2,0.16666666666667,14,0.98611111111111,0.90231528044328,0.6115277647039,0.29078751573939,2,5,0.0,0.98214285714286,0.45801950188873,0.30555555555556,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_persistent,280,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94827642216708,0.6148118309534,0.33346459121368,2,3,0.0,0.99404761904762,0.49647408427898,0.34722222222222,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_no_persistent_self,280,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95445278321046,0.62299428370927,0.33145849950119,1,3,0.0,0.98809523809524,0.25977501994014,0.0,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_history_reset,280,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95498058162381,0.61737555283432,0.33760502878949,2,5,0.0,0.98214285714286,0.79220730368012,0.8406471010466,7.0-r1,heldout
7.0-p2,ground_creature,progressive_persistent,281,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95927002062563,0.62067795817773,0.3385920624479,2,3,1.0,1.0,0.79232574771913,0.8406471010466,7.0-r1,heldout
