protocol_version,profile,condition,seed,schedule,training_transition_count,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score
7.0-p1,virtual_avatar,reverse_curriculum,258,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99504761200331,0.04030576943261,0.9547418425707,1,1,1.0,1.0,1.0
7.0-p1,virtual_avatar,random_curriculum,258,1-2-3-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99504152409828,0.05533505257268,0.9397064715256,1,1,1.0,1.0,1.0
7.0-p1,virtual_avatar,progressive_history_reset,258,0-1-2-3,3,0.0,0.33333333333333,4.8,0.0,0.0,0.0,6.4,1.0,1.0,0.96205824383972,0.05530038703977,0.90675785679995,1,3,0.0,1.0,0.0
7.0-p1,virtual_avatar,progressive_no_persistent_self,258,0-1-2-3,3,0.0,1.0,4.8,0.0,1.0,1.0,0.0,0.0,1.0,0.99486851169145,0.04642227895274,0.94844623273871,1,3,0.0,0.99479166666667,1.0
7.0-p1,ground_creature,progressive_persistent,259,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99454650068984,0.04028409027436,0.95426241041548,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,final_from_start,259,3-3-3-3,0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,1.0,1.0,0.99454043849833,0.18037891959545,0.81416151890287,1,2,1.0,1.0,0.0
7.0-p1,ground_creature,reverse_curriculum,259,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99476218256922,0.04037305649066,0.95438912607856,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,random_curriculum,259,2-3-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99476227791125,0.0402279689292,0.95453430898206,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,progressive_history_reset,259,0-1-2-3,3,0.0,0.66666666666667,4.8,0.0,0.0,0.0,6.4,1.0,1.0,0.96140767806025,0.05540939762536,0.9059982804349,1,4,1.0,1.0,0.0
7.0-p1,ground_creature,progressive_no_persistent_self,259,0-1-2-3,3,0.0,1.0,4.8,0.0,0.0,0.0,6.4,1.0,1.0,0.96121243384688,0.18037540149476,0.78083703235211,1,3,0.0,0.98958333333333,0.0
7.0-p1,wheeled_robot,progressive_persistent,259,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99398114935245,0.04127638527146,0.95270476408099,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,final_from_start,259,3-3-3-3,0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,1.0,1.0,0.99394248519519,0.17908439240086,0.81485809279432,1,3,1.0,1.0,0.0
7.0-p1,wheeled_robot,reverse_curriculum,259,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99421817642471,0.04135690942778,0.95286126699693,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,random_curriculum,259,2-3-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99422874056601,0.04135249114683,0.95287624941918,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,progressive_history_reset,259,0-1-2-3,3,0.33333333333333,0.33333333333333,3.2,0.33333333333333,0.0,0.0,6.4,0.0,1.0,0.95972380053109,0.0554051996459,0.90431860088519,1,2,0.0,1.0,0.25
7.0-p1,wheeled_robot,progressive_no_persistent_self,259,0-1-2-3,3,0.0,1.0,4.8,0.0,1.0,1.0,0.0,0.0,1.0,0.99393173574537,0.04622020873624,0.94771152700914,1,3,0.0,0.99479166666667,1.0
7.0-p1,drone,progressive_persistent,259,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99287071059631,0.0400519845095,0.95281872608681,1,1,1.0,1.0,1.0
7.0-p1,drone,final_from_start,259,3-3-3-3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.99282642340044,0.05539136092413,0.93743506247631,1,3,0.0,1.0,1.0
7.0-p1,drone,reverse_curriculum,259,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9931598714719,0.04011968859925,0.95304018287266,1,1,1.0,1.0,1.0
7.0-p1,drone,random_curriculum,259,2-3-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99316602588198,0.04026394613648,0.9529020797455,1,1,1.0,1.0,1.0
7.0-p1,drone,progressive_history_reset,259,0-1-2-3,3,0.0,0.33333333333333,4.8,0.0,0.0,0.0,6.4,1.0,1.0,0.95751288450398,0.05554892591381,0.90196395859017,1,3,0.0,1.0,0.0
7.0-p1,drone,progressive_no_persistent_self,259,0-1-2-3,3,0.0,1.0,4.8,0.0,0.0,0.0,6.4,1.0,0.984375,0.95393015368681,0.17639374141014,0.77753641227667,1,3,0.0,0.99479166666667,0.0
7.0-p1,virtual_avatar,progressive_persistent,259,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99487715049478,0.0400375431374,0.95483960735738,1,1,1.0,1.0,1.0
7.0-p1,virtual_avatar,final_from_start,259,3-3-3-3,0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,1.0,1.0,0.37796216127517,0.18147830919549,0.19648385207968,64,68,0.0,1.0,0.0
7.0-p1,virtual_avatar,reverse_curriculum,259,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99506019364289,0.04012403289229,0.9549361607506,1,1,1.0,1.0,1.0
7.0-p1,virtual_avatar,random_curriculum,259,2-3-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99506924960513,0.04030827260386,0.95476097700127,1,1,1.0,1.0,1.0
7.0-p1,virtual_avatar,progressive_history_reset,259,0-1-2-3,3,0.0,0.0,4.8,0.0,0.0,0.0,6.4,1.0,1.0,0.96211239799949,0.05545205046046,0.90666034753902,1,4,0.0,1.0,0.0
7.0-p1,virtual_avatar,progressive_no_persistent_self,259,0-1-2-3,3,0.0,1.0,4.8,0.0,0.0,0.0,6.4,1.0,0.984375,0.95915641786002,0.18095833487457,0.77819808298545,1,4,0.0,1.0,0.0
