parameter_id,label,identity_advantage,identity_ci_low,identity_ci_high,identity_seed_wins,identity_profile_positive_count,lure_rejection_advantage,lure_ci_low,lure_ci_high,lure_seed_wins,lure_profile_positive_count,both_sign_preserved,both_ci_supported,both_profile_direction_3of4,ordinary_threshold,postchange_threshold,new_entity_anchor_gate,persistent_reconnect_gate,smoothing_scale,anchor_cost_scale,nonpersistent_penalty_scale
8700f90f93a168db,anchor_cost_scale_1.25,0.6741898148148148,0.590853587962963,0.7464120370370371,30,4,0.5090277777777777,0.45405092592592594,0.5559027777777779,30,4,True,True,True,0.66,0.82,0.62,0.7,1.0,1.25,1.0
a43a193a7b0fd727,new_entity_anchor_gate_0.56,0.7590277777777779,0.6754600694444444,0.8332204861111111,30,4,0.522337962962963,0.4674739583333334,0.5700231481481481,30,4,True,True,True,0.66,0.82,0.56,0.7,1.0,1.0,1.0
b292cd026c2bcaca,persistent_reconnect_gate_0.77,-0.021180555555555557,-0.10879918981481482,0.05706018518518518,15,2,0.5416666666666666,0.48807002314814807,0.5886574074074074,30,4,False,False,False,0.66,0.82,0.62,0.77,1.0,1.0,1.0
b620e4ea0509f59a,ordinary_causal_weight_x1.2,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,4,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,4,True,True,True,0.66,0.82,0.62,0.7,1.0,1.0,1.0
c53a10ada1c2be83,joint_05,0.8980324074074075,0.8380787037037039,0.9497685185185186,30,4,0.599537037037037,0.5597193287037036,0.6337962962962963,30,4,True,True,True,0.71,0.8300000000000001,0.6425000000000001,0.69125,0.975,0.96875,1.03125
cb6d1d701cb584ae,joint_01,0.3153935185185185,0.24663483796296296,0.38564814814814813,27,3,0.21099537037037042,0.16608796296296297,0.25659722222222225,27,3,True,True,True,0.69,0.77,0.5825,0.65625,1.025,0.84375,0.84375
ce570ae60775c2b6,joint_04,0.08159722222222222,0.005549768518518531,0.14444733796296294,25,3,0.6046296296296296,0.5554369212962962,0.6442158564814815,30,4,True,True,True,0.59,0.89,0.5675,0.76125,0.925,1.21875,0.78125
dc6413addc7317d8,postchange_threshold_0.9,0.7572916666666667,0.6714120370370371,0.8325260416666667,30,4,0.5229166666666667,0.468287037037037,0.5704890046296296,30,4,True,True,True,0.66,0.9,0.62,0.7,1.0,1.0,1.0
e9418808cbd7ae60,joint_02,0.20578703703703702,0.12881944444444443,0.27002604166666655,26,4,0.6006944444444444,0.5521961805555555,0.6413194444444447,30,4,True,True,True,0.61,0.79,0.5975,0.7262500000000001,0.875,1.09375,0.96875
f740ac6001868916,joint_07,0.971412037037037,0.9652777777777778,0.9773148148148147,30,4,0.6623842592592593,0.6604166666666667,0.6641203703703706,30,4,True,True,True,0.6699999999999999,0.85,0.6575000000000001,0.63875,0.8250000000000001,1.15625,0.90625
