parameter_id,metric,mean_advantage,ci_low,ci_high,n_seeds,seed_wins,profile_positive_count,qualitative_positive,ci_supported
791fedb7310df556,identity_continuity_advantage,0.4090277777777777,0.31272858796296304,0.5031249999999999,30,28,4,True,True
791fedb7310df556,lure_rejection_advantage,0.30763888888888874,0.24328414351851854,0.3700260416666666,30,28,4,True,True
79b88271409cebee,identity_continuity_advantage,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,30,4,True,True
79b88271409cebee,lure_rejection_advantage,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,30,4,True,True
8700f90f93a168db,identity_continuity_advantage,0.6741898148148148,0.590853587962963,0.7464120370370371,30,30,4,True,True
8700f90f93a168db,lure_rejection_advantage,0.5090277777777777,0.45405092592592594,0.5559027777777779,30,30,4,True,True
a43a193a7b0fd727,identity_continuity_advantage,0.7590277777777779,0.6754600694444444,0.8332204861111111,30,30,4,True,True
a43a193a7b0fd727,lure_rejection_advantage,0.522337962962963,0.4674739583333334,0.5700231481481481,30,30,4,True,True
b292cd026c2bcaca,identity_continuity_advantage,-0.021180555555555557,-0.10879918981481482,0.05706018518518518,30,15,2,False,False
b292cd026c2bcaca,lure_rejection_advantage,0.5416666666666666,0.48807002314814807,0.5886574074074074,30,30,4,True,True
b620e4ea0509f59a,identity_continuity_advantage,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,30,4,True,True
b620e4ea0509f59a,lure_rejection_advantage,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,30,4,True,True
c53a10ada1c2be83,identity_continuity_advantage,0.8980324074074075,0.8380787037037039,0.9497685185185186,30,30,4,True,True
c53a10ada1c2be83,lure_rejection_advantage,0.599537037037037,0.5597193287037036,0.6337962962962963,30,30,4,True,True
cb6d1d701cb584ae,identity_continuity_advantage,0.3153935185185185,0.24663483796296296,0.38564814814814813,30,27,3,True,True
cb6d1d701cb584ae,lure_rejection_advantage,0.21099537037037042,0.16608796296296297,0.25659722222222225,30,27,3,True,True
ce570ae60775c2b6,identity_continuity_advantage,0.08159722222222222,0.005549768518518531,0.14444733796296294,30,25,3,True,True
ce570ae60775c2b6,lure_rejection_advantage,0.6046296296296296,0.5554369212962962,0.6442158564814815,30,30,4,True,True
dc6413addc7317d8,identity_continuity_advantage,0.7572916666666667,0.6714120370370371,0.8325260416666667,30,30,4,True,True
dc6413addc7317d8,lure_rejection_advantage,0.5229166666666667,0.468287037037037,0.5704890046296296,30,30,4,True,True
e9418808cbd7ae60,identity_continuity_advantage,0.20578703703703702,0.12881944444444443,0.27002604166666655,30,26,4,True,True
e9418808cbd7ae60,lure_rejection_advantage,0.6006944444444444,0.5521961805555555,0.6413194444444447,30,30,4,True,True
f740ac6001868916,identity_continuity_advantage,0.971412037037037,0.9652777777777778,0.9773148148148147,30,30,4,True,True
f740ac6001868916,lure_rejection_advantage,0.6623842592592593,0.6604166666666667,0.6641203703703706,30,30,4,True,True
